Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2015-11-02 22:00:53;2015-11-03 06:10:32;83%;8:09;:|;Drank coffee:Drank tea:Worked out;55;0
2015-11-03 22:46:00;2015-11-04 06:09:53;75%;7:23;:|;Drank coffee:Drank tea:Worked out;;0
2015-11-04 22:49:17;2015-11-05 06:00:43;65%;7:11;:|;Drank coffee:Drank tea:Worked out;;0
2015-11-05 21:36:52;2015-11-06 05:29:48;77%;7:52;:|;Drank coffee:Drank tea:Worked out;;0
2015-11-07 00:19:42;2015-11-07 08:13:55;93%;7:54;:);Drank coffee:Drank tea:Worked out;98;0
2015-11-08 23:28:38;2015-11-09 06:20:45;69%;6:52;:);Drank coffee:Drank tea;;0
2015-11-09 21:59:54;2015-11-10 05:41:00;88%;7:41;:);Drank coffee:Drank tea:Worked out;;0
2015-11-10 22:56:22;2015-11-11 06:28:43;83%;7:32;:);Drank coffee:Drank tea:Worked out;;0
2015-11-11 22:57:35;2015-11-12 06:20:38;72%;7:23;:);Drank coffee:Drank tea;;0
2015-11-13 22:59:58;2015-11-14 07:46:48;96%;8:46;:);Drank coffee:Drank tea;59;0
2015-11-15 22:17:12;2015-11-16 06:30:48;72%;8:13;:);Drank coffee:Drank tea;62;0
2015-11-18 22:07:28;2015-11-19 05:30:48;80%;7:23;:);Ate late:Drank coffee:Drank tea:Worked out;63;0
2015-11-19 23:10:23;2015-11-20 06:00:42;73%;6:50;:);Drank coffee:Drank tea:Worked out;62;0
2015-11-22 21:57:39;2015-11-23 05:30:46;83%;7:33;:);Drank tea;;0
2015-11-23 22:15:24;2015-11-24 05:00:10;74%;6:44;:);Drank coffee:Drank tea:Worked out;;0
2015-11-24 22:33:40;2015-11-25 06:30:54;87%;7:57;:);Drank coffee:Drank tea:Worked out;;0
2015-11-25 23:26:02;2015-11-26 06:20:47;69%;6:54;:);Drank coffee:Drank tea:Worked out;;0
2015-11-26 22:25:29;2015-11-27 06:20:36;81%;7:55;:);Drank coffee:Drank tea:Worked out;;0
2015-11-28 01:20:50;2015-11-28 07:46:30;58%;6:25;:);Drank coffee:Drank tea:Worked out;59;0
2015-11-29 22:20:20;2015-11-30 06:20:11;68%;7:59;:);Drank tea;;0
2015-11-30 21:23:47;2015-12-01 06:19:46;64%;8:55;:);Drank coffee:Drank tea:Worked out;;0
2015-12-01 23:03:32;2015-12-02 06:20:45;84%;7:17;:);Drank coffee:Drank tea:Worked out;57;0
2015-12-02 22:19:31;2015-12-03 05:11:26;75%;6:51;:);Drank coffee:Drank tea;;0
2015-12-03 22:51:20;2015-12-04 05:01:02;70%;6:09;:);Ate late:Drank coffee:Drank tea;;0
2015-12-06 22:10:17;2015-12-07 05:31:02;86%;7:20;:);Drank coffee:Drank tea;68;0
2015-12-07 21:20:30;2015-12-08 05:00:36;86%;7:40;:);Drank tea:Stressful day:Worked out;61;0
2015-12-08 22:17:33;2015-12-09 05:45:41;79%;7:28;:);Drank coffee:Drank tea:Stressful day:Worked out;;0
2015-12-09 21:57:33;2015-12-10 06:10:41;93%;8:13;:);Drank tea:Stressful day:Worked out;67;0
2015-12-13 00:08:26;2015-12-13 08:23:03;77%;8:14;:);Drank coffee;;0
2015-12-13 22:07:01;2015-12-14 06:09:53;80%;8:02;:);Drank coffee;52;0
2015-12-15 22:32:48;2015-12-16 06:10:41;75%;7:37;:);Drank coffee:Drank tea:Worked out;;0
2015-12-16 22:20:47;2015-12-17 05:40:53;84%;7:20;:);Drank coffee:Drank tea:Stressful day;;0
2015-12-17 21:07:49;2015-12-18 05:45:44;100%;8:37;:);Drank coffee:Drank tea:Worked out;;0
2015-12-20 22:19:20;2015-12-21 06:20:02;72%;8:00;:|;Drank coffee:Drank tea:Worked out;56;0
2015-12-21 22:06:14;2015-12-22 05:29:49;80%;7:23;:|;Drank coffee:Worked out;;0
2015-12-22 21:41:31;2015-12-23 05:43:31;82%;8:01;:);Drank coffee:Drank tea:Worked out;;0
2015-12-23 22:33:13;2015-12-24 06:01:00;79%;7:27;:);Drank coffee:Drank tea;;0
2015-12-29 22:44:12;2015-12-30 07:00:31;76%;8:16;:|;Drank coffee;;0
2016-01-01 23:53:45;2016-01-02 08:27:19;79%;8:33;:|;Drank coffee:Drank tea;71;0
2016-01-02 23:49:43;2016-01-03 08:13:49;85%;8:24;:);Drank coffee:Drank tea;65;0
2016-01-03 21:44:08;2016-01-04 05:35:23;69%;7:51;:);Drank coffee;;0
2016-01-04 22:17:03;2016-01-05 05:45:29;74%;7:28;:|;Drank coffee:Drank tea:Stressful day;;0
2016-01-05 22:18:45;2016-01-06 06:20:45;66%;8:01;:|;Drank coffee:Worked out;;0
2016-01-13 22:44:29;2016-01-14 06:20:25;72%;7:35;:|;Ate late:Drank coffee:Drank tea:Stressful day;;0
2016-01-14 22:10:58;2016-01-15 05:28:34;73%;7:17;:|;Drank coffee:Drank tea:Worked out;;0
2016-01-17 22:00:46;2016-01-18 05:30:32;76%;7:29;:|;Drank coffee:Drank tea:Worked out;;0
2016-01-18 21:56:26;2016-01-19 05:34:59;78%;7:38;;Ate late:Drank coffee:Drank tea;;0
2016-01-19 22:46:50;2016-01-20 06:35:37;75%;7:48;;Drank coffee:Drank tea:Worked out;;0
2016-01-20 21:13:40;2016-01-21 06:29:37;77%;9:15;;Drank coffee:Drank tea;;0
2016-01-21 21:33:27;2016-01-22 06:23:55;79%;8:50;;Drank coffee;;0
2016-01-22 22:17:12;2016-01-23 08:14:54;79%;9:57;;Drank coffee:Worked out;;0
2016-01-24 22:06:59;2016-01-25 06:30:14;85%;8:23;;Drank coffee:Drank tea:Worked out;;0
2016-01-25 22:27:55;2016-01-26 06:38:49;88%;8:10;;Drank coffee;;0
2016-01-26 22:58:16;2016-01-27 06:28:13;83%;7:29;;Drank coffee:Drank tea:Worked out;;0
2016-01-27 22:02:27;2016-01-28 05:23:02;84%;7:20;;Drank coffee:Drank tea:Worked out;;0
2016-01-28 22:11:17;2016-01-29 05:26:31;76%;7:15;;Drank coffee:Drank tea:Worked out;;0
2016-01-29 21:47:34;2016-01-30 06:06:40;88%;8:19;;Drank coffee:Drank tea:Worked out;;0
2016-01-31 22:58:22;2016-02-01 06:19:07;78%;7:20;;Drank coffee;;0
2016-02-01 22:02:40;2016-02-02 05:27:42;82%;7:25;;Drank coffee:Drank tea:Worked out;;0
2016-02-02 21:47:43;2016-02-03 05:20:45;72%;7:33;;Drank coffee:Worked out;;0
2016-02-03 22:54:38;2016-02-04 06:20:45;79%;7:26;;Drank coffee:Worked out;;0
2016-02-04 22:17:56;2016-02-05 06:53:46;74%;8:35;;Drank coffee:Stressful day:Worked out;;0
2016-02-05 23:45:36;2016-02-06 07:35:42;84%;7:50;;Drank coffee;;0
2016-02-06 22:55:30;2016-02-07 07:35:48;91%;8:40;;Drank tea;;0
2016-02-08 00:44:15;2016-02-08 07:45:22;68%;7:01;;Drank coffee:Drank tea;;0
2016-02-08 22:43:49;2016-02-09 06:40:40;77%;7:56;;Drank coffee:Drank tea:Worked out;;0
2016-02-09 21:57:50;2016-02-10 05:31:30;66%;7:33;;Drank coffee:Worked out;;0
2016-02-13 23:41:34;2016-02-14 05:11:40;38%;5:30;;Drank coffee;;0
2016-02-14 22:07:58;2016-02-15 05:53:25;84%;7:45;;Drank coffee:Stressful day;;0
2016-02-15 22:07:07;2016-02-16 05:25:39;76%;7:18;;Drank coffee:Worked out;;0
2016-02-16 22:20:30;2016-02-17 05:32:48;70%;7:12;;Drank coffee:Worked out;;0
2016-02-17 21:33:26;2016-02-18 06:24:29;90%;8:51;;Drank coffee:Stressful day:Worked out;;0
2016-02-18 22:47:46;2016-02-19 06:26:50;77%;7:39;;Drank coffee:Drank tea:Worked out;;0
2016-02-20 23:12:47;2016-02-21 07:41:40;69%;8:28;;Drank coffee;;0
2016-02-22 22:04:12;2016-02-23 06:23:53;85%;8:19;;Drank coffee;;0
2016-02-23 22:18:26;2016-02-24 06:25:24;94%;8:06;;Drank coffee:Worked out;;0
2016-02-24 21:59:00;2016-02-25 05:43:33;88%;7:44;;Drank tea:Worked out;;0
2016-02-26 00:15:25;2016-02-26 06:35:57;68%;6:20;;Drank tea:Worked out;;0
2016-02-27 23:33:23;2016-02-28 07:50:56;92%;8:17;;Drank coffee;;0
2016-02-28 22:19:47;2016-02-29 05:45:34;64%;7:25;;Drank tea;;0
2016-02-29 21:55:44;2016-03-01 06:22:29;78%;8:26;;Drank tea:Worked out;;0
2016-03-01 23:22:16;2016-03-02 05:50:28;70%;6:28;;Drank tea:Worked out;;0
2016-03-02 22:15:14;2016-03-03 06:21:26;95%;8:06;;Drank coffee:Drank tea:Worked out;;0
2016-03-03 22:01:33;2016-03-04 06:17:35;90%;8:16;;Drank tea:Worked out;;0
2016-03-05 23:20:01;2016-03-06 07:31:36;98%;8:11;;Drank tea;;0
2016-03-06 23:08:20;2016-03-07 06:19:25;70%;7:11;;Drank coffee:Drank tea;;0
2016-03-07 22:50:22;2016-03-08 06:22:58;75%;7:32;;Drank tea:Worked out;;0
2016-03-08 21:40:38;2016-03-09 06:25:07;91%;8:44;;Drank tea:Worked out;;0
2016-03-09 22:40:25;2016-03-10 05:49:39;79%;7:09;;Drank tea;;0
2016-03-10 21:35:17;2016-03-11 05:34:15;92%;7:58;;Drank tea:Worked out;;0
2016-03-12 01:33:16;2016-03-12 07:50:21;69%;6:17;;Drank coffee:Worked out;;0
2016-03-12 23:44:03;2016-03-13 07:51:57;83%;7:07;;Drank tea;;0
2016-03-13 22:47:36;2016-03-14 05:40:43;82%;6:53;;Drank tea:Worked out;;0
2016-03-14 22:16:43;2016-03-15 05:46:07;79%;7:29;;Drank tea:Worked out;;0
2016-03-15 22:41:40;2016-03-16 06:25:27;85%;7:43;;Drank coffee:Drank tea:Worked out;;0
2016-03-16 22:25:40;2016-03-17 07:05:26;90%;8:39;;Drank coffee:Worked out;;0
2016-03-17 22:46:35;2016-03-18 07:08:48;98%;8:22;;Drank coffee:Drank tea;;0
2016-03-18 22:17:45;2016-03-19 07:47:51;87%;9:30;;Drank coffee;;0
2016-03-20 22:13:36;2016-03-21 07:26:59;80%;9:13;;Drank coffee;;0
2016-03-21 22:37:03;2016-03-22 07:32:00;80%;8:54;;Drank coffee;;0
2016-03-22 21:22:46;2016-03-23 06:19:17;80%;8:56;;Drank coffee:Drank tea;;0
2016-03-23 22:06:49;2016-03-24 05:20:29;65%;7:13;;Drank coffee:Drank tea:Worked out;;0
2016-03-27 23:28:20;2016-03-28 07:30:07;82%;8:01;;Drank coffee;;0
2016-03-28 23:32:44;2016-03-29 06:29:15;75%;6:56;;Drank coffee:Stressful day:Worked out;;0
2016-03-29 23:12:02;2016-03-30 06:25:49;66%;7:13;;Drank coffee:Worked out;;0
2016-03-30 22:58:49;2016-03-31 06:25:21;58%;7:26;;Drank coffee:Drank tea:Worked out;;0
2016-03-31 22:47:19;2016-04-01 06:30:09;89%;7:42;;Drank coffee:Drank tea:Worked out;;0
2016-04-02 21:20:49;2016-04-03 07:08:13;86%;9:47;;Drank coffee;;0
2016-04-03 21:44:29;2016-04-04 06:24:00;67%;8:39;;Drank coffee;;0
2016-04-04 21:23:59;2016-04-05 06:29:22;62%;9:05;;Drank coffee;;0
2016-04-05 21:13:24;2016-04-06 06:24:45;81%;9:11;;Drank coffee:Worked out;;0
2016-04-06 23:00:14;2016-04-07 05:55:41;73%;6:55;;Drank coffee:Drank tea:Worked out;;0
2016-04-07 21:48:56;2016-04-08 05:49:06;81%;8:00;;Ate late:Drank coffee:Drank tea:Worked out;;0
2016-04-09 00:51:24;2016-04-09 07:21:57;53%;6:30;;Drank coffee:Drank tea:Worked out;;0
2016-04-09 22:59:45;2016-04-10 07:59:49;94%;9:00;;Drank coffee:Drank tea:Worked out;;0
2016-04-10 22:04:13;2016-04-11 05:16:33;67%;7:12;;Drank tea;;0
2016-04-11 22:35:10;2016-04-12 05:54:20;82%;7:19;;Drank coffee:Drank tea:Stressful day:Worked out;;0
2016-04-12 22:18:30;2016-04-13 05:52:27;85%;7:33;;Drank coffee:Drank tea:Worked out;;0
2016-04-13 22:27:46;2016-04-14 06:13:03;77%;7:45;;Drank coffee:Drank tea:Worked out;;0
2016-04-14 21:43:30;2016-04-15 06:24:30;94%;8:41;;Drank coffee:Drank tea:Stressful day:Worked out;;0
2016-04-15 22:38:27;2016-04-16 07:25:56;81%;8:47;;Drank coffee:Drank tea;;0
2016-04-17 21:34:35;2016-04-18 06:26:45;75%;8:52;;Drank coffee:Drank tea;;0
2016-04-19 21:21:02;2016-04-20 06:20:19;79%;8:59;;Drank coffee:Drank tea:Worked out;;0
2016-04-20 21:25:56;2016-04-21 05:35:24;81%;8:09;;Ate late:Drank coffee:Drank tea:Worked out;;0
2016-04-21 21:54:28;2016-04-22 05:35:27;79%;7:40;;;;0
2016-04-22 05:37:46;2016-04-22 06:20:18;9%;0:42;;;;0
2016-04-23 00:46:44;2016-04-23 07:54:03;65%;7:07;;Drank coffee:Drank tea:Worked out;;0
2016-04-24 22:30:35;2016-04-25 06:14:30;81%;7:43;;Drank tea;;0
2016-04-25 22:07:57;2016-04-26 05:39:43;87%;7:31;;Ate late:Drank coffee:Drank tea:Worked out;;0
2016-04-26 22:48:24;2016-04-27 06:20:28;74%;7:32;;Drank coffee:Drank tea:Worked out;;0
2016-04-27 22:24:10;2016-04-28 06:25:23;92%;8:01;;Drank coffee:Drank tea:Worked out;;0
2016-04-28 22:23:37;2016-04-29 06:17:32;95%;7:53;;Drank coffee:Drank tea:Worked out;;0
2016-04-29 22:47:32;2016-04-30 05:57:05;81%;7:09;;Drank coffee:Drank tea:Worked out;;0
2016-05-01 21:27:20;2016-05-02 06:15:12;95%;8:47;;Drank coffee:Worked out;;0
2016-05-02 21:50:53;2016-05-03 06:20:17;85%;8:29;;Drank coffee:Worked out;;0
2016-05-03 22:19:12;2016-05-04 06:20:18;79%;8:01;;Drank coffee:Worked out;;0
2016-05-04 22:16:31;2016-05-05 06:30:20;83%;8:13;;Drank coffee:Drank tea:Worked out;;0
2016-05-05 22:20:43;2016-05-06 06:15:04;89%;7:54;;Ate late:Drank coffee;;0
2016-05-06 23:07:56;2016-05-07 07:08:11;87%;8:00;;Drank coffee:Drank tea:Stressful day:Worked out;;0
2016-05-07 23:20:36;2016-05-08 07:12:34;93%;7:51;;Drank coffee:Drank tea;;0
2016-05-08 23:44:12;2016-05-09 06:20:24;74%;6:36;;Drank coffee:Drank tea;;0
2016-05-09 22:10:46;2016-05-10 05:41:35;83%;7:30;;Drank coffee:Drank tea:Worked out;;0
2016-05-10 23:10:06;2016-05-11 05:30:21;74%;6:20;;Drank coffee:Drank tea:Worked out;;0
2016-05-11 22:43:49;2016-05-12 06:25:26;80%;7:41;;Drank coffee:Drank tea:Worked out;;0
2016-05-12 23:50:20;2016-05-13 06:50:20;83%;6:59;;Drank coffee:Drank tea:Worked out;;0
2016-05-13 23:08:55;2016-05-14 07:53:57;100%;8:45;;Drank coffee:Drank tea:Worked out;;0
2016-05-15 21:34:13;2016-05-16 06:07:30;81%;8:33;;Drank tea;;0
2016-05-16 21:34:47;2016-05-17 06:15:18;85%;8:40;;Drank coffee:Worked out;;0
2016-05-17 20:53:27;2016-05-18 06:10:18;83%;9:16;;Drank coffee:Worked out;;0
2016-05-18 22:26:07;2016-05-19 05:40:26;79%;7:14;;Drank coffee:Stressful day;;0
2016-05-20 00:00:10;2016-05-20 06:30:16;76%;6:30;;Drank coffee:Worked out;;0
2016-05-20 23:14:26;2016-05-21 07:34:07;91%;8:19;;Drank coffee:Worked out;;0
2016-05-23 22:34:58;2016-05-24 05:30:18;75%;6:55;;Drank coffee;;0
2016-05-24 22:00:00;2016-05-25 05:35:16;90%;7:35;;Drank coffee:Worked out;;0
2016-05-25 22:21:34;2016-05-26 06:31:01;88%;8:09;;Drank coffee:Worked out;;0
2016-05-26 22:08:30;2016-05-27 06:19:54;89%;8:11;;Drank coffee:Worked out;;0
2016-05-28 00:19:46;2016-05-28 07:15:58;72%;6:56;;Drank coffee:Worked out;;0
2016-05-29 22:04:35;2016-05-30 06:40:37;100%;8:36;;Drank coffee;;0
2016-05-30 22:07:42;2016-05-31 06:08:04;72%;8:00;;Drank coffee:Stressful day;;0
2016-05-31 23:02:52;2016-06-01 06:31:44;70%;7:28;;Drank coffee:Worked out;;0
2016-06-01 23:01:17;2016-06-02 05:48:05;67%;6:46;;Drank coffee:Worked out;;0
2016-06-02 22:51:43;2016-06-03 05:31:02;65%;6:39;;Drank coffee:Worked out;;0
2016-06-05 22:33:14;2016-06-06 05:51:51;71%;7:18;;Worked out;;0
2016-06-06 23:26:26;2016-06-07 05:31:41;70%;6:05;;Drank coffee:Worked out;;0
2016-06-07 22:32:35;2016-06-08 05:32:33;77%;6:59;;Drank coffee:Worked out;;0
2016-06-08 21:56:14;2016-06-09 06:16:18;76%;8:20;;Drank coffee:Worked out;;0
2016-06-09 22:07:31;2016-06-10 06:35:29;87%;8:27;;Ate late:Drank coffee:Worked out;;0
2016-06-11 22:42:30;2016-06-12 08:41:24;93%;9:58;;Drank tea;;0
2016-06-12 22:52:30;2016-06-13 06:32:02;77%;7:39;;Drank tea;;0
2016-06-13 22:03:24;2016-06-14 06:26:09;82%;8:22;;Drank tea:Worked out;;0
2016-06-14 22:32:22;2016-06-15 06:30:23;68%;7:58;;Drank coffee:Drank tea;;0
2016-06-16 00:46:59;2016-06-16 06:25:12;64%;5:38;;Drank coffee:Drank tea:Worked out;;0
2016-06-16 22:06:06;2016-06-17 06:01:02;83%;7:54;;Drank coffee:Drank tea:Worked out;;0
2016-06-17 23:28:36;2016-06-18 07:23:00;79%;7:54;;Drank coffee:Drank tea:Worked out;;0
2016-06-19 23:00:43;2016-06-20 06:00:38;74%;6:59;;Drank coffee;;0
2016-06-20 22:34:58;2016-06-21 05:50:46;83%;7:15;;Drank coffee:Worked out;;0
2016-06-21 22:11:24;2016-06-22 05:40:37;83%;7:29;;Drank coffee:Worked out;;0
2016-06-22 22:41:04;2016-06-23 06:22:44;82%;7:41;;Drank coffee:Worked out;;0
2016-06-23 22:32:02;2016-06-24 06:32:15;86%;8:00;;Drank coffee:Worked out;;0
2016-06-26 22:16:19;2016-06-27 06:30:30;64%;8:14;;Drank coffee;;0
2016-06-27 23:48:29;2016-06-28 06:47:24;62%;6:58;;Drank coffee:Stressful day:Worked out;;0
2016-06-28 23:10:25;2016-06-29 06:35:27;77%;7:25;;Drank coffee:Worked out;;0
2016-06-29 22:32:29;2016-06-30 05:55:57;83%;7:23;;Drank coffee:Stressful day:Worked out;;0
2016-07-01 23:32:46;2016-07-02 07:32:54;90%;8:00;;Drank coffee;;0
2016-07-03 21:49:41;2016-07-04 06:02:36;86%;8:12;;;;0
2016-07-04 21:39:08;2016-07-05 05:50:23;85%;8:11;;Drank coffee:Worked out;;0
2016-07-05 22:48:36;2016-07-06 06:05:36;75%;7:16;;Drank coffee:Stressful day:Worked out;;0
2016-07-06 22:13:30;2016-07-07 06:15:50;92%;8:02;;Drank coffee:Worked out;;0
2016-07-07 22:53:15;2016-07-08 07:05:46;96%;8:12;;Drank coffee:Worked out;;0
2016-07-10 22:18:13;2016-07-11 06:17:38;85%;7:59;;Drank coffee;;0
2016-07-11 21:24:42;2016-07-12 06:15:28;99%;8:50;;Drank coffee:Worked out;;0
2016-07-12 22:02:38;2016-07-13 06:15:55;96%;8:13;;Drank coffee:Worked out;;0
2016-07-13 23:13:10;2016-07-14 06:15:33;78%;7:02;;Drank coffee:Worked out;;0
2016-07-14 22:39:55;2016-07-15 06:15:20;84%;7:35;;Drank coffee:Stressful day:Worked out;;0
2016-07-16 00:32:25;2016-07-16 08:19:37;87%;7:47;;Drank coffee:Worked out;;0
2016-07-16 23:20:56;2016-07-17 07:31:40;98%;8:10;;Drank coffee:Worked out;;0
2016-07-17 22:23:36;2016-07-18 06:00:46;76%;7:37;;Drank coffee:Worked out;;0
2016-07-18 22:57:22;2016-07-19 06:05:28;77%;7:08;;Drank coffee:Stressful day:Worked out;;0
2016-07-19 22:36:11;2016-07-20 05:50:31;77%;7:14;;Drank coffee:Worked out;;0
2016-07-20 22:25:37;2016-07-21 05:56:20;82%;7:30;;Drank coffee:Worked out;;0
2016-07-21 23:07:32;2016-07-22 07:00:25;87%;7:52;;Drank coffee:Worked out;;0
2016-07-22 22:20:48;2016-07-23 07:56:07;99%;9:35;;Drank coffee;;0
2016-07-23 23:47:33;2016-07-24 07:56:34;74%;8:09;;Drank coffee;;0
2016-07-24 22:45:58;2016-07-25 06:14:20;81%;7:28;;Drank coffee:Worked out;;0
2016-07-25 21:54:39;2016-07-26 06:02:22;86%;8:07;;Drank coffee:Worked out;;0
2016-07-26 23:03:39;2016-07-27 06:11:38;84%;7:07;;Drank coffee:Worked out;;0
2016-07-27 22:49:44;2016-07-28 07:11:03;95%;8:21;;Drank coffee:Stressful day:Worked out;;0
2016-07-28 22:25:20;2016-07-29 03:35:22;35%;5:10;;Drank coffee;;0
